location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,ew,1,1946-01-31,0.0351073864885455
usa,accruals,monthly,ew,1,1946-02-28,0.000441575900791039
usa,accruals,monthly,ew,1,1946-03-31,0.0292711911473349
usa,accruals,monthly,ew,1,1946-04-30,0.0304558668036449
usa,accruals,monthly,ew,1,1946-05-31,0.00653175084412023
usa,accruals,monthly,ew,1,1946-06-30,-0.0113096573240241
usa,accruals,monthly,ew,1,1946-07-31,-0.00239716858815534
usa,accruals,monthly,ew,1,1946-08-31,-0.0276438949451159
usa,accruals,monthly,ew,1,1946-09-30,-0.0418543178006814
usa,accruals,monthly,ew,1,1946-10-31,0.000652271973395081
usa,accruals,monthly,ew,1,1946-11-30,-0.00732062114592209
usa,accruals,monthly,ew,1,1946-12-31,-0.00111057057476374
usa,accruals,monthly,ew,1,1947-01-31,0.00339233907880324
usa,accruals,monthly,ew,1,1947-02-28,0.00837246376829558
usa,accruals,monthly,ew,1,1947-03-31,-0.0162982788417234
usa,accruals,monthly,ew,1,1947-04-30,-0.0205736122562907
usa,accruals,monthly,ew,1,1947-05-31,-0.0179407265006501
usa,accruals,monthly,ew,1,1947-06-30,0.00532731380871877
usa,accruals,monthly,ew,1,1947-07-31,0.0306857545281169
usa,accruals,monthly,ew,1,1947-08-31,-0.00198454388211211
usa,accruals,monthly,ew,1,1947-09-30,-0.0082459622260348
usa,accruals,monthly,ew,1,1947-10-31,0.00694928117127583
usa,accruals,monthly,ew,1,1947-11-30,0.0145202800897523
usa,accruals,monthly,ew,1,1947-12-31,0.0206369932540835
usa,accruals,monthly,ew,1,1948-01-31,0.00584073410446488
usa,accruals,monthly,ew,1,1948-02-29,-0.0104164559796107
usa,accruals,monthly,ew,1,1948-03-31,0.011606622138218
usa,accruals,monthly,ew,1,1948-04-30,0.0209526402452659
usa,accruals,monthly,ew,1,1948-05-31,0.0103539588389295
usa,accruals,monthly,ew,1,1948-06-30,0.0147006136402053
usa,accruals,monthly,ew,1,1948-07-31,-0.013127579905196
usa,accruals,monthly,ew,1,1948-08-31,0.00172817649776068
usa,accruals,monthly,ew,1,1948-09-30,0.020116425562066
usa,accruals,monthly,ew,1,1948-10-31,-0.00718695896583334
usa,accruals,monthly,ew,1,1948-11-30,0.0168854126652496
usa,accruals,monthly,ew,1,1948-12-31,0.0148822706741131
usa,accruals,monthly,ew,1,1949-01-31,0.00155469026074859
usa,accruals,monthly,ew,1,1949-02-28,0.0102527996992144
usa,accruals,monthly,ew,1,1949-03-31,-0.0119396918116084
usa,accruals,monthly,ew,1,1949-04-30,0.0198898884386161
usa,accruals,monthly,ew,1,1949-05-31,0.00120506600788982
usa,accruals,monthly,ew,1,1949-06-30,0.00824989271146199
usa,accruals,monthly,ew,1,1949-07-31,0.00284753320933887
usa,accruals,monthly,ew,1,1949-08-31,-0.00137124801060335
usa,accruals,monthly,ew,1,1949-09-30,-0.0145340330716745
usa,accruals,monthly,ew,1,1949-10-31,-0.0126035294843559
usa,accruals,monthly,ew,1,1949-11-30,0.00571711912944392
usa,accruals,monthly,ew,1,1949-12-31,-0.00681680050299395
usa,accruals,monthly,ew,1,1950-01-31,0.0134292483330502
usa,accruals,monthly,ew,1,1950-02-28,-0.00343105971902985
usa,accruals,monthly,ew,1,1950-03-31,-0.00185117351968039
usa,accruals,monthly,ew,1,1950-04-30,0.00542382447563534
usa,accruals,monthly,ew,1,1950-05-31,-0.000392059640569091
usa,accruals,monthly,ew,1,1950-06-30,-0.00519699546127163
usa,accruals,monthly,ew,1,1950-07-31,-0.00840868350133928
usa,accruals,monthly,ew,1,1950-08-31,-0.0112934883884203
usa,accruals,monthly,ew,1,1950-09-30,-0.00337431331281179
usa,accruals,monthly,ew,1,1950-10-31,0.011938126362897
usa,accruals,monthly,ew,1,1950-11-30,-0.0175841933092031
usa,accruals,monthly,ew,1,1950-12-31,-0.0231918539264042
usa,accruals,monthly,ew,1,1951-01-31,-0.0132791182964225
usa,accruals,monthly,ew,1,1951-02-28,0.00105406224419856
usa,accruals,monthly,ew,1,1951-03-31,0.0161069708993698
usa,accruals,monthly,ew,1,1951-04-30,-0.0274155626731351
usa,accruals,monthly,ew,1,1951-05-31,0.00619477676667959
usa,accruals,monthly,ew,1,1951-06-30,0.0285617716641356
usa,accruals,monthly,ew,1,1951-07-31,-0.0116799459210345
usa,accruals,monthly,ew,1,1951-08-31,-0.0164410245649148
usa,accruals,monthly,ew,1,1951-09-30,-0.0130243794304515
usa,accruals,monthly,ew,1,1951-10-31,-0.00292469428873049
usa,accruals,monthly,ew,6,1951-11-30,-0.0128161011560159
usa,accruals,monthly,ew,6,1951-12-31,0.018627577367587
usa,accruals,monthly,ew,6,1952-01-31,-0.00278889220596591
usa,accruals,monthly,ew,6,1952-02-29,0.00816939274144612
usa,accruals,monthly,ew,6,1952-03-31,-0.00777876642500439
usa,accruals,monthly,ew,6,1952-04-30,0.00961084066173388
usa,accruals,monthly,ew,6,1952-05-31,-0.00508174917283998
usa,accruals,monthly,ew,6,1952-06-30,0.00246435136590192
usa,accruals,monthly,ew,6,1952-07-31,0.0048386400910493
usa,accruals,monthly,ew,6,1952-08-31,0.00291061634401296
usa,accruals,monthly,ew,6,1952-09-30,-0.001835365576003
usa,accruals,monthly,ew,6,1952-10-31,0.000655590440681436
usa,accruals,monthly,ew,6,1952-11-30,0.00349374493377505
usa,accruals,monthly,ew,6,1952-12-31,-0.00746972195918149
usa,accruals,monthly,ew,6,1953-01-31,0.0049139734009611
usa,accruals,monthly,ew,6,1953-02-28,-0.0042293800409681
usa,accruals,monthly,ew,6,1953-03-31,-0.00227183583792816
usa,accruals,monthly,ew,6,1953-04-30,0.00223502379598346
usa,accruals,monthly,ew,6,1953-05-31,0.00888920374422109
usa,accruals,monthly,ew,6,1953-06-30,0.00766718353239682
usa,accruals,monthly,ew,6,1953-07-31,-0.00323679214633633
usa,accruals,monthly,ew,6,1953-08-31,0.00936487881621967
usa,accruals,monthly,ew,6,1953-09-30,0.00025043652186103
usa,accruals,monthly,ew,6,1953-10-31,-0.00428061552236984
usa,accruals,monthly,ew,6,1953-11-30,-0.00662752968846551
usa,accruals,monthly,ew,6,1953-12-31,0.00759058204640301
usa,accruals,monthly,ew,6,1954-01-31,-0.00897363205941364
usa,accruals,monthly,ew,6,1954-02-28,0.00348300575027647
usa,accruals,monthly,ew,6,1954-03-31,0.000575190667752002
usa,accruals,monthly,ew,6,1954-04-30,-0.00119421711041284
usa,accruals,monthly,ew,6,1954-05-31,-0.00537623249539027
usa,accruals,monthly,ew,6,1954-06-30,0.0130804881240242
usa,accruals,monthly,ew,6,1954-07-31,0.012365323523894
usa,accruals,monthly,ew,6,1954-08-31,0.00964618080638292
usa,accruals,monthly,ew,6,1954-09-30,-0.00398916438414315
usa,accruals,monthly,ew,6,1954-10-31,0.00353622101791433
usa,accruals,monthly,ew,6,1954-11-30,0.0144926827618291
usa,accruals,monthly,ew,6,1954-12-31,-0.00562207886606136
usa,accruals,monthly,ew,6,1955-01-31,0.00869669588611809
usa,accruals,monthly,ew,6,1955-02-28,0.00450525278627345
usa,accruals,monthly,ew,6,1955-03-31,0.000257989016217449
usa,accruals,monthly,ew,6,1955-04-30,-0.00646012973662197
usa,accruals,monthly,ew,6,1955-05-31,-0.00255517036453975
usa,accruals,monthly,ew,6,1955-06-30,-0.00538492863083945
usa,accruals,monthly,ew,6,1955-07-31,0.00630160688825611
usa,accruals,monthly,ew,6,1955-08-31,0.00395820906611136
usa,accruals,monthly,ew,6,1955-09-30,-0.00321087657966985
usa,accruals,monthly,ew,6,1955-10-31,0.00978383568732639
usa,accruals,monthly,ew,6,1955-11-30,-0.013812635144693
usa,accruals,monthly,ew,6,1955-12-31,-0.0046406091153797
usa,accruals,monthly,ew,6,1956-01-31,0.00978959838547822
usa,accruals,monthly,ew,6,1956-02-29,-0.00361990306867493
usa,accruals,monthly,ew,6,1956-03-31,-0.0188299244873007
usa,accruals,monthly,ew,6,1956-04-30,-0.000913050750105028
usa,accruals,monthly,ew,6,1956-05-31,0.00430227320758829
usa,accruals,monthly,ew,6,1956-06-30,-0.0092307402243977
usa,accruals,monthly,ew,6,1956-07-31,-0.00078672653483781
usa,accruals,monthly,ew,6,1956-08-31,0.00196710832032686
usa,accruals,monthly,ew,6,1956-09-30,0.00552021305165738
usa,accruals,monthly,ew,6,1956-10-31,-0.00514813948161078
usa,accruals,monthly,ew,6,1956-11-30,0.000732800280594285
usa,accruals,monthly,ew,6,1956-12-31,0.0012228767841821
usa,accruals,monthly,ew,6,1957-01-31,0.00705743512233492
usa,accruals,monthly,ew,6,1957-02-28,0.00552097496911824
usa,accruals,monthly,ew,6,1957-03-31,0.000442718394639063
usa,accruals,monthly,ew,6,1957-04-30,0.00356306574462721
usa,accruals,monthly,ew,6,1957-05-31,-0.00262121504558839
usa,accruals,monthly,ew,6,1957-06-30,0.00363809348217447
usa,accruals,monthly,ew,6,1957-07-31,0.0126674237542104
usa,accruals,monthly,ew,6,1957-08-31,0.0124791791134019
usa,accruals,monthly,ew,6,1957-09-30,0.0156070119881726
usa,accruals,monthly,ew,6,1957-10-31,-0.00435070847298313
usa,accruals,monthly,ew,6,1957-11-30,-0.000960069514261562
usa,accruals,monthly,ew,6,1957-12-31,0.0228690018103632
usa,accruals,monthly,ew,6,1958-01-31,-0.0136632942231188
usa,accruals,monthly,ew,6,1958-02-28,0.0128407372197842
usa,accruals,monthly,ew,6,1958-03-31,0.00566459131078969
usa,accruals,monthly,ew,6,1958-04-30,0.0155888333544922
usa,accruals,monthly,ew,6,1958-05-31,-0.00764148799347597
usa,accruals,monthly,ew,6,1958-06-30,-0.00130578061219776
usa,accruals,monthly,ew,6,1958-07-31,-0.00773122167024095
usa,accruals,monthly,ew,6,1958-08-31,-0.00042919651702392
usa,accruals,monthly,ew,6,1958-09-30,-0.00125503879890268
usa,accruals,monthly,ew,6,1958-10-31,-0.0135312009872297
usa,accruals,monthly,ew,6,1958-11-30,0.00518487085946595
usa,accruals,monthly,ew,6,1958-12-31,0.00524942681780222
usa,accruals,monthly,ew,6,1959-01-31,0.00512887970138702
usa,accruals,monthly,ew,6,1959-02-28,0.00252095815907992
usa,accruals,monthly,ew,6,1959-03-31,0.00456357368986239
usa,accruals,monthly,ew,6,1959-04-30,0.00193874586097601
usa,accruals,monthly,ew,6,1959-05-31,0.00647234399182691
usa,accruals,monthly,ew,6,1959-06-30,-0.00430212397654775
usa,accruals,monthly,ew,6,1959-07-31,0.00898251262318487
usa,accruals,monthly,ew,6,1959-08-31,0.00871161085475235
usa,accruals,monthly,ew,6,1959-09-30,0.00429371905278249
usa,accruals,monthly,ew,6,1959-10-31,-0.00687529576877064
usa,accruals,monthly,ew,6,1959-11-30,-0.0000125039233799668
usa,accruals,monthly,ew,6,1959-12-31,0.00349817431415619
usa,accruals,monthly,ew,6,1960-01-31,-0.0016369126637794
